"Access denied.","Acces refuzat."
"Can not find webservice adapter.","Nu s-a găsit adaptorul pentru serviciul web"
"Client Session Timeout (sec.)","Sesiunea client expirată (sec.)"
"Default Response Charset","Răspuns Implicit pentru setul de caractere"
"Email","Email"
"Enable WSDL Cache","Activați WSDL Cache"
"General Settings","Setări Generale"
"Invalid webservice adapter specified.","Adaptorul de servicii web specificat nu este valid."
"Invalid webservice handler specified.","Manipularea de servicii web specificată nu este validă."
"Magento Core API","Magento Core API"
"Magento Core API Section","Sectiunea Magento Core API"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Utilizatori"
"Unable to login.","Autentificare imposibilă."
"User Name","Nume utilizator"
"WS-I Compliance","WS-I Compliance"
"Web Services","Servicii web"
"Your account has been deactivated.","Contul dumneavoastră a fost dezactivat."
