"<strong>Atentie</strong>: Captcha is case sensitive.","<strong>Atenție</strong>: Codul Captcha este sensibil la majuscule și minuscule."
"After number of attempts to login","După un anumit număr de încercări de autentificare"
"Always","Mereu"
"CAPTCHA","Cod CAPTCHA"
"CAPTCHA Timeout (minutes)","Expirare cod CAPTCHA (minute)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA pentru formularele ""Creați utilizator"" si ""Parolă uitată"" sunt întotdeauna activate dacă le alegeți"
"Case Sensitive","Sesibil la Majuscule"
"Displaying Mode","Modul de afișare"
"Enable CAPTCHA in Admin","Activați codul CAPTCHA în Admin"
"Enable CAPTCHA on Frontend","Activați codul CAPTCHA pentru Clienți"
"Font","Caractere"
"Forms","Formulare"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Dacă este specificat 0, codul CAPTCHA va fi întotdeauna disponibil pe Forumlarul de autentificare."
"Incorrect CAPTCHA.","Cod CAPTCHA incorect."
"Number of Symbols","Număr de Simboluri"
"Number of Unsuccessful Attempts to Login","Numărul de încercări nereușite de autentificare"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Vă rugăm specificați cel mult 8 simboluri. Interval permis  (ex. 3-5)"
"Please type the letters below","Vă rugăm să introduceți caracterele de mai jos"
"Please type the letters from the image:","Vă rugăm să introduceți caracterele din imagine:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Reload captcha","Reîncarcă codul captcha"
"Symbols Used in CAPTCHA","Simboluri folosite în CAPTCHA"
