"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Regulile catalogului de prețuri bazate pe ""%s"" atributele au fost dezactivate."
"Actions","Actiuni"
"Active","Activ"
"Add New Rule","Adăugați o regulă nouă"
"An error occurred while deleting the rule. Please review the log and try again.","A apărut o eroare la ștergerea regulii. Vă rugăm să revedeți jurnalul și încercați din nou."
"An error occurred while saving the rule data. Please review the log and try again.","O eroare a avut loc în timpul salvării regulilor. Vă rugăm să revedeți jurnalul și încercați din nou."
"Apply","Aplică"
"Apply Rules","Aplică regulă"
"Attribute Set","Set de atribute"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Catalog","Catalog"
"Catalog Price Rule","Catalog Price Rule"
"Catalog Price Rules","Catalog Price Rules"
"Category","Category"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Customer Groups","Customer Groups"
"Date Expire","Date Expire"
"Date From","Date From"
"Date Start","Date Start"
"Date To","Date To"
"Description","Description"
"Discount Amount","Discount Amount"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"New Rule","New Rule"
"No","No"
"Options","Options"
"Priority","Priority"
"Product Attribute","Product Attribute"
"Promotions","Promotions"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Save and Apply","Save and Apply"
"Save and Continue Edit","Save and Continue Edit"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","This rule no longer exists."
"To Date","To Date"
"To Fixed Amount","To Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Actualizare produse %s %s: %s"
"Website","Website"
"Websites","Website-uri"
"Wrong rule specified.","Wrong rule specified."
"Yes","Da"
