"%s and greater","%s and greater"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d produs(e)</strong> au fost găsite folosind criteriile dumneavoastră de căutare"
"Advanced Search","Căutare avansată"
"Advanced Search Form","Formular Căutare Avansată"
"Advanced Search Result","Advanced Search Result"
"All","All"
"Applies for ""Like"" search type only.","Applies for ""Like"" search type only."
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Autogenerated Site Map"
"Catalog Advanced Search","Căutare avansată"
"Catalog Search","Catalog Search"
"Catalog Search Index","Catalog Search Index"
"Don't see what you're looking for?","Nu ați gasit produsul dorit?"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Go","Go"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Home","Home"
"List","Listă"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query length is %s. Your query was cut.","Maximum Search query length is %s. Your query was cut."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum words count is %1$s. In your search query was cut next part: %2$s."
"Minimal Query Length","Minimal Query Length"
"Minimum Search query length is %s","Minimum Search query length is %s"
"Modify your search","Modificați criteriile de căutare"
"No","Nu"
"No items were found using the following search criteria.","Utilizând următoarele criterii de căutare, nu a fost găsit nici un produs."
"Please specify at least one search term.","Please specify at least one search term."
"Popular Search Terms","Termeni de căutare populari"
"Quick Search Form","Quick Search Form"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Relevance","Relevanță"
"Results","Rezultate"
"Search","Caută"
"Search Settings","Detalii căutare"
"Search Terms","Search Terms"
"Search Type","Search Type"
"Search entire store here...","Caută în tot magazinul..."
"Search results for '%s'","Rezultate căutare pentru '%s'"
"Search results for: '%s'","Rezultate căutare pentru: '%s'"
"Search:","Caută:"
"Specified date is invalid.","Specified date is invalid."
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","There are no search terms available."
"Yes","Da"
"Your search returns no results.","Nu a fost gasit nici un produs care să corespundă criteriilor dumneavostră de cautare."
"up to %s","up to %s"
