"Actions","Actions"
"Add Answer","Adaugă răspuns"
"Add New Answer","Adaugă un Răspuns Nou"
"Add New Poll","Adaugă un Sondaj Nou"
"Answer Title","Raspuns Sondaj"
"Answer Title:","Raspuns Sondaj:"
"Answer with the same title in this poll","Answer with the same title in this poll"
"Are you sure you want to delete it?","Sunteți sigur că doriți sa-l ștergeți?"
"Assigned Answers","Assigned Answers"
"Closed","Închis"
"Community Poll","Sondaj"
"Date Closed","Data de Închidere"
"Date Posted","Data Publicării"
"Delete","Șterge"
"Delete Answer","Șterge răspuns"
"Delete Poll","Șterge sondaj"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Disallow Voting in a Poll Multiple Times from Same IP-address"
"Edit Answer '%s'","Modifică răspunsul '%s'"
"Edit Poll '%s'","Modifică Sondajul '%s'"
"Edit Poll Answer","Modifică răspunsul sondajului"
"ID","ID"
"Invalid Answer.","Răspuns Invalid."
"New Poll","Sondaj Nou"
"Number of Responses","Numărul de răspunsuri"
"Open","Deschis"
"Poll Answers","Răspunsurile Sondajului"
"Poll Information","Informații Sondaj"
"Poll Manager","Administrator Sondaje"
"Poll Question","Întrebare Sondaj"
"Poll information","Poll information"
"Poll with the same question","Poll with the same question"
"Polls","Sondaje"
"Save Answer","Salvează raspunsul"
"Save Poll","Salvează Sondaj"
"Status","Status"
"The answer has been saved.","Răspunsul a fost salvat."
"The poll does not exist.","The poll does not exist."
"Unable to find an answer to delete.","Unable to find an answer to delete."
"Visible In","Vizibil în"
"Vote","Votează"
"Votes Count","Numărul de voturi primit"
"Votes Count:","Numarul de voturi primit:"
