"%d Review(s)","%d Comentariu(i)"
"%s Review(s)","%s Comentariu(i)"
"(Posted on %s)","(Publicat pe %s)"
"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Adăugați un comentariu nou"
"Add Your Review","Adaugați opinia dumneavostră"
"Administrator","Administrator"
"All Reviews","Toate comentariile"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"All Reviews of Product `%s`","All Reviews of Product `%s`"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Sunteți sigur?"
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
"Back","Înapoi"
"Back to Main Product Info","Înapoi la pagina de informatii a produsului"
"Back to My Reviews","Înapoi la comentariul meu"
"Back to Product Reviews","Back to Product Reviews"
"Be the first to review this product","Scrie primul review al acestui produs!"
"Catalog Product Review View","Catalog Product Review View"
"Catalog Product Reviews List","Catalog Product Reviews List"
"Created On","Creat pe"
"Customer","Client"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Comentariile clientului"
"Customers Reviews","Comentariile clientiilor"
"Delete","Șterge"
"Delete Review","Șterge Comentariul"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Editează comentariul '%s'"
"Guest","Vizitator"
"How do you rate this product?","Calificativ"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Opiniile mele"
"My Recent Reviews","Opiniile mele recente"
"Name","Nume"
"Name in Store","Name in Store"
"New Review","Comentariu Nou"
"Nickname","Nume"
"Nickname can\'t be empty","Nickname can\'t be empty"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending Reviews","Pending Reviews"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a product","Vă rugăm selectați un produs"
"Please select one of each of the ratings above","Vă rugăm să selectați unul din calificativele de mai sus"
"Posted By","Postat de"
"Price","Preț"
"Product","Produs"
"Product Name","Nume Produs"
"Product Rating","Product Rating"
"Product Rating:","Product Rating:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Opiniile produsului"
"Product SKU","Product SKU"
"Products Reviews","Products Reviews"
"Qty","Qty"
"Rating:","Rating:"
"Review","Comentariu"
"Review (submitted on %s):","Review (submitted on %s):"
"Review Details","Review Details"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","Comentariu scris de <span>%s</span>"
"Review can\'t be empty","Review can\'t be empty"
"Review summary can\'t be empty","Review summary can\'t be empty"
"Reviews and Ratings","Recenzii și Calificative"
"SKU","Cod Produs"
"Save Review","Salvează Comentariu"
"Status","Status"
"Submit Review","Trimite"
"Summary Rating","Summary Rating"
"Summary of Review","Summary of Review"
"Summary of Your Review","Titlu comentariu"
"Title","Titlu"
"Type","Type"
"Unable to post the review.","Unable to post the review."
"Update Status","Actualizare Status"
"View All Reviews","Vezi toate comentariile"
"View Details","Vezi detalii"
"Visible In","Vizibil În"
"Websites","Websites"
"Write Your Own Review","Opinia dumnevoastră despre produs"
"You have submitted no reviews.","Nu aveți nici un comentariu postat."
"You're reviewing:","Spune-ți părerea despre:"
"Your Rating:","Nota dumnevoastră:"
"Your Review (submitted on %s):","Comentariul dumneavoastră (submitted on %s):"
"Your review has been accepted for moderation.","Comentariul dumneavoastră a fost acceptat și trimis la un moderator."
