"Add Recipient","Adaugă incă un destinatar"
"Allow for Guests","Allow for Guests"
"An invalid email address for recipient was entered.","An invalid email address for recipient was entered."
"At least one recipient must be specified.","At least one recipient must be specified."
"Back","Înapoi"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Email Address","Adresă email"
"Email Address:","Adresă email:"
"Email Templates","Email Templates"
"Email to a Friend","Recomandă unui prieten"
"Email:","Email:"
"Enabled","Activat"
"Invalid Sender Information","Invalid Sender Information"
"Invalid sender email.","Invalid sender email."
"Limit Sending By","Limit Sending By"
"Max Products Sent in 1 Hour","Numărul maxim de produse trimise într-o oră"
"Max Recipients","Max Recipients"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Message:","Mesaj:"
"Name","Nume"
"Name:","Nume:"
"No more than %d emails can be sent at a time.","No more than %d emails can be sent at a time."
"Please define a correct Cookie instance.","Please define a correct Cookie instance."
"Please define a correct Product instance.","Please define a correct Product instance."
"Please define the correct Sender information.","Please define the correct Sender information."
"Recipient:","Destinatar:"
"Remove Email","Șterge Email"
"Select Email Template","Select Email Template"
"Send Email","Trimite Email"
"Send product to a friend","Trimite produsul unui prieten"
"Sender:","Expeditor:"
"Some emails were not sent.","Unele e-mailuri nu au fost trimise."
"The link to a friend was sent.","Link-ul către prieten a fost trimis."
"The message cannot be empty.","Mesajul nu poate fi gol."
"The messages cannot be sent more than %d times in an hour","The messages cannot be sent more than %d times in an hour"
"The sender name cannot be empty.","Numele expeditorului nu poate fi gol."
"There were some problems with the data.","There were some problems with the data."
"You have exceeded limit of %d sends in an hour","You have exceeded limit of %d sends in an hour"
